family,sequence,algorithm_arm,camera_policy,config_authority,estimator_source_authority,repetitions,completeness,ATE_authority,resource_authority,parity_evidence,final_status,source_prompt_artifact
NTU,nya_01,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_01-N-LIVO-r1..r3
NTU,nya_01,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_01-P-LIVO-r1..r3
NTU,nya_02,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_02-N-LIO-r1..r3
NTU,nya_02,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_02-P-LIO-r1..r3
NTU,nya_02,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_02-N-LIVO-r1..r3
NTU,nya_02,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_02-P-LIVO-r1..r3
NTU,nya_03,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_03-N-LIO-r1..r3
NTU,nya_03,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_03-P-LIO-r1..r3
NTU,nya_03,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_03-N-LIVO-r1..r3
NTU,nya_03,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-nya_03-P-LIVO-r1..r3
NTU,sbs_01,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_01-N-LIO-r1..r3
NTU,sbs_01,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_01-P-LIO-r1..r3
NTU,sbs_01,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_01-N-LIVO-r1..r3
NTU,sbs_01,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_01-P-LIVO-r1..r3
NTU,sbs_02,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_02-N-LIO-r1..r3
NTU,sbs_02,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_02-P-LIO-r1..r3
NTU,sbs_02,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_02-N-LIVO-r1..r3
NTU,sbs_02,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_02-P-LIVO-r1..r3
NTU,sbs_03,N-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_03-N-LIO-r1..r3
NTU,sbs_03,P-LIO,camera_off,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_03-P-LIO-r1..r3
NTU,sbs_03,N-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_native,Prompt15_FAST_native_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_03-N-LIVO-r1..r3
NTU,sbs_03,P-LIVO,full_rate_stride1,Prompt15_NTU_VIRAL_frozen_prob,Prompt15_Prob_LIVO_offline,3,HISTORICAL_VALID,Prompt15_NTU_official_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_formal_RC0_complete,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-sbs_03-P-LIVO-r1..r3
OXFORD,Church_05,N-LIO,camera_off,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt15_FAST_native_LIO_offline,3,HISTORICAL_VALID,Prompt15_Oxford_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_native_effective_rosparams_verified,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-Church_05-N-LIO-r1..r3
OXFORD,Church_05,P-LIO_corrected,camera_off,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt17_Prob_LIO_camera_off_offline,1,COMPLETE,Prompt17_Oxford_evaluator_RC0,Prompt17_timing_and_memory_artifacts,Prompt16_overlay_SHA_b5917b_and_rejected_0,COMPLETE,Prompt17;results/prob_livo/runs/prompt17_final4_p_lio_Church_05
OXFORD,Church_05,N-LIVO_full,full_rate_stride1,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N0_reused_Prompt15_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N0_native_unchanged,HISTORICAL_VALID,Prompt19;results/prob_livo/prompt15/formal/P15-Church_05-N-LIVO-r1..r3
OXFORD,Church_05,P-LIVO_full,full_rate_stride1,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0_canonical_selected_timestamp,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0_Church_05_r1;prompt19_clean_p0_Church_05_r2..r3
OXFORD,Church_05,N-LIVO_stride,stride2,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N1_reused_Prompt18_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N1_selected_timestamp_identity,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt18_n1_native_Church_05_r1..r3
OXFORD,Church_05,P-LIVO_stride,stride2,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0S_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0S_exact_even_subsequence,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0s_Church_05_r1;prompt19_clean_p0s_Church_05_r2..r3
OXFORD,College_03,N-LIO,camera_off,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt15_FAST_native_LIO_offline,3,HISTORICAL_VALID,Prompt15_Oxford_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_native_effective_rosparams_verified,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-College_03-N-LIO-r1..r3
OXFORD,College_03,P-LIO_corrected,camera_off,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt21_Prob_LIO_camera_off_offline,1,COMPLETE,Prompt21_Oxford_evaluator_RC0,Prompt21_timing_and_memory_artifacts,Prompt16_overlay_SHA_b5917b_and_rejected_0,COMPLETE,Prompt21;results/prob_livo/runs/prompt21_fill_p_lio_College_03_corrected
OXFORD,College_03,N-LIVO_full,full_rate_stride1,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N0_reused_Prompt15_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N0_native_unchanged,HISTORICAL_VALID,Prompt19;results/prob_livo/prompt15/formal/P15-College_03-N-LIVO-r1..r3
OXFORD,College_03,P-LIVO_full,full_rate_stride1,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0_canonical_selected_timestamp,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0_College_03_r1;prompt19_clean_p0_College_03_r2..r3
OXFORD,College_03,N-LIVO_stride,stride2,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N1_reused_Prompt18_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N1_selected_timestamp_identity,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt18_n1_native_College_03_r1..r3
OXFORD,College_03,P-LIVO_stride,stride2,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0S_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0S_exact_even_subsequence,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0s_College_03_r1;prompt19_clean_p0s_College_03_r2..r3
OXFORD,Palace_01,N-LIO,camera_off,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt15_FAST_native_LIO_offline,3,HISTORICAL_VALID,Prompt15_Oxford_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_native_effective_rosparams_verified,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-Palace_01-N-LIO-r1..r3
OXFORD,Palace_01,P-LIO_corrected,camera_off,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt17_Prob_LIO_camera_off_offline,1,COMPLETE,Prompt17_Oxford_evaluator_RC0,Prompt17_timing_and_memory_artifacts,Prompt16_overlay_SHA_b5917b_and_rejected_0,COMPLETE,Prompt17;results/prob_livo/runs/prompt17_final4_p_lio_Palace_01
OXFORD,Palace_01,N-LIVO_full,full_rate_stride1,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N0_reused_Prompt15_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N0_native_unchanged,HISTORICAL_VALID,Prompt19;results/prob_livo/prompt15/formal/P15-Palace_01-N-LIVO-r1..r3
OXFORD,Palace_01,P-LIVO_full,full_rate_stride1,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0_canonical_selected_timestamp,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0_Palace_01_r1;prompt19_clean_p0_Palace_01_r2..r3
OXFORD,Palace_01,N-LIVO_stride,stride2,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N1_reused_Prompt18_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N1_selected_timestamp_identity,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt18_n1_native_Palace_01_r1..r3
OXFORD,Palace_01,P-LIVO_stride,stride2,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0S_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0S_exact_even_subsequence,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0s_Palace_01_r1;prompt19_clean_p0s_Palace_01_r2..r3
OXFORD,Quarter_01,N-LIO,camera_off,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt15_FAST_native_LIO_offline,3,HISTORICAL_VALID,Prompt15_Oxford_evaluator_3of3,Prompt15_memory_and_timing_3of3,Prompt15_native_effective_rosparams_verified,HISTORICAL_VALID,Prompt15;results/prob_livo/prompt15/formal/P15-Quarter_01-N-LIO-r1..r3
OXFORD,Quarter_01,P-LIO_corrected,camera_off,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt17_Prob_LIO_camera_off_offline,1,COMPLETE,Prompt17_Oxford_evaluator_RC0,Prompt17_timing_and_memory_artifacts,Prompt16_overlay_SHA_b5917b_and_rejected_0,COMPLETE,Prompt17;results/prob_livo/runs/prompt17_final4_p_lio_Quarter_01
OXFORD,Quarter_01,N-LIVO_full,full_rate_stride1,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N0_reused_Prompt15_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N0_native_unchanged,HISTORICAL_VALID,Prompt19;results/prob_livo/prompt15/formal/P15-Quarter_01-N-LIVO-r1..r3
OXFORD,Quarter_01,P-LIVO_full,full_rate_stride1,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0_canonical_selected_timestamp,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0_Quarter_01_r1;prompt19_clean_p0_Quarter_01_r2..r3
OXFORD,Quarter_01,N-LIVO_stride,stride2,NATIVE_BASELINE_CONFIG_DISTINCT_BUT_FROZEN,Prompt19_N1_reused_Prompt18_native_LIVO,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_N1_selected_timestamp_identity,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt18_n1_native_Quarter_01_r1..r3
OXFORD,Quarter_01,P-LIVO_stride,stride2,Prompt16_Oxford_corrected_overlay_0.5_0.01,Prompt19_P0S_Prob_LIVO_native_blind_carry,3,HISTORICAL_VALID,Prompt19_Oxford_evaluator_3of3,Prompt19_run_ledger_and_memory,Prompt19_P0S_exact_even_subsequence,HISTORICAL_VALID,Prompt19;results/prob_livo/runs/prompt19_canon_p0s_Quarter_01_r1;prompt19_clean_p0s_Quarter_01_r2..r3
