commit_or_file,origin_prompt,classification,keep_or_drop,reason,canonical_semantic_dependency
file:2f4249c:launch/prompt27_online_avia.launch,Prompt27,KEEP_CANONICAL_PRODUCTION,KEEP,"Sanitized copy retained as canonical online Prob-LIVO launch","FEJ parameter removed; fast_native/P0-P4 semantics"
file:2f4249c:config/prob_livo/PROMPT27_GEODE_GAMMA.yaml,Prompt27,DROP_EXPLORATORY,DROP,"External GEODE degeneracy profile","Not Prompt22 authority"
file:2f4249c:spec/prob_livo/PROMPT27_CALIBRATION_AUDIT.md,Prompt27,DROP_EXPLORATORY,DROP,"External GEODE calibration exploration","Not Prompt22 authority"
file:2f4249c:spec/prob_livo/PROMPT27_RUN_LEDGER.csv,Prompt27,KEEP_CANONICAL_TEST_EVIDENCE,KEEP,"Extract Native FEJ-OFF Bright control only","FEJ-OFF functional control"
commit:8743e83,Prompt28,KEEP_CANONICAL_TEST_EVIDENCE,KEEP,"Extract Prob Bright FEJ-OFF control and retain provenance","Prompt22 FEJ-OFF behavior"
file:8743e83:spec/prob_livo/PROMPT28_ONLINE_OFFLINE_PARITY.csv,Prompt28,DROP_EXPLORATORY,DROP,"External BIEVR/COIN parity is not canonical Prob-LIVO evidence","Not Prompt22 estimator semantics"
file:8743e83:spec/prob_livo/PROMPT28_RESOURCE_SUMMARY.csv,Prompt28,DROP_EXPLORATORY,DROP,"External BIEVR/COIN resource characterization","Not Prompt22 estimator semantics"
file:8743e83:config/prob_livo/prompt28_bievr_ntu_eee01.yaml,Prompt28,DROP_EXPLORATORY,DROP,"External BIEVR sensor profile","Not Prompt22 authority"
commit:4b02517,Prompt29,DROP_WRONG_SEMANTICS,DROP,"Adds common-linearization/CN production mode","Rejected CN production semantics"
commit:8ef0174,Prompt29,DROP_WRONG_SEMANTICS,DROP,"CN runtime test and stale snapshot path","Rejected CN semantics"
commit:4780c9a,Prompt30,DROP_WRONG_SEMANTICS,DROP,"CN snapshot contract and test","Rejected CN semantics"
commit:d5f5830,Prompt30,DROP_WRONG_SEMANTICS,DROP,"CN snapshot transaction implementation","Rejected CN production semantics"
commit:6a74832,Prompt30,DROP_WRONG_SEMANTICS,DROP,"CN snapshot adjudication evidence","Rejected CN experiment"
commit:dc7ecec,Prompt31,DROP_WRONG_SEMANTICS,DROP,"CN nonlinear forensic implementation and test","Rejected CN semantics"
commit:5d28fbd,Prompt32,DROP_WRONG_SEMANTICS,DROP,"CN N/P differential evidence","Rejected CN experiment"
commit:5aa36a8,Prompt33,DROP_WRONG_SEMANTICS,DROP,"CN fixed-point diagnostic path","Rejected CN semantics"
commit:3b92bd6,Prompt33,DROP_WRONG_SEMANTICS,DROP,"CN factor-row identity diagnostic","Rejected CN semantics"
commit:91db236,Prompt33,DROP_WRONG_SEMANTICS,DROP,"CN root-cause evidence and implementation archive","Rejected CN experiment"
commit:520244c,Prompt34,DROP_WRONG_SEMANTICS,DROP,"CN inactive handoff guard","Bound to rejected CN mode"
commit:9e4ddb2,Prompt34,DROP_WRONG_SEMANTICS,DROP,"CN handoff test","Bound to rejected CN mode"
commit:e2947e9,Prompt34,DROP_WRONG_SEMANTICS,DROP,"CN bootstrap handoff trace","Bound to rejected CN mode"
commit:0aa716e,Prompt34,DROP_WRONG_SEMANTICS,DROP,"CN visual handoff state change","Bound to rejected CN mode"
commit:e37632d,Prompt34,DROP_WRONG_SEMANTICS,DROP,"CN final trial evidence","Rejected CN experiment"
commit:066ab22,Prompt34,DROP_WRONG_SEMANTICS,DROP,"CN audit bundle","Rejected CN experiment"
commit:2c134da,Prompt35,DROP_WRONG_SEMANTICS,DROP,"SA-CN authority document","Rejected SA-CN semantics"
commit:89f5776,Prompt35,DROP_WRONG_SEMANTICS,DROP,"SA-CN joint update production path","Rejected SA-CN production semantics"
commit:83a18f7,Prompt35,DROP_WRONG_SEMANTICS,DROP,"SA-CN joint-loop tests","Rejected SA-CN semantics"
commit:d9af8bb,Prompt35,DROP_WRONG_SEMANTICS,DROP,"SA-CN Bright/RViz canary evidence","Rejected SA-CN experiment"
commit:08434f1,Prompt35,DROP_WRONG_SEMANTICS,DROP,"SA-CN evidence closure","Rejected SA-CN experiment"
commit:b2fb5ae,Prompt36,DROP_WRONG_SEMANTICS,DROP,"SA-LIVO authority/math documents","Rejected SA-LIVO semantics"
commit:01b3874,Prompt36,DROP_WRONG_SEMANTICS,DROP,"SA-LIVO visual information production pipeline","Rejected SA-LIVO production semantics"
commit:26c7f1c,Prompt36,DROP_WRONG_SEMANTICS,DROP,"SA-LIVO core tests","Rejected SA-LIVO semantics"
commit:b10448d,Prompt36,DROP_WRONG_SEMANTICS,DROP,"SA-LIVO failed canary evidence","Rejected SA-LIVO experiment"
commit:8eb4e17,Prompt36,DROP_WRONG_SEMANTICS,DROP,"SA-LIVO audit bundle","Rejected SA-LIVO experiment"
commit:c546317,Prompt37,DROP_WRONG_SEMANTICS,DROP,"SA host tangent/anchor authority","Rejected SA-LIVO semantics"
commit:12beae8,Prompt37,DROP_WRONG_SEMANTICS,DROP,"SA host tangent and accepted-anchor correction","Rejected SA-LIVO production semantics"
commit:f207146,Prompt37,DROP_WRONG_SEMANTICS,DROP,"SA tangent/anchor tests","Rejected SA-LIVO semantics"
commit:c87e4fb,Prompt37,DROP_WRONG_SEMANTICS,DROP,"SA Bright corrective evidence","Rejected SA-LIVO experiment"
commit:9f2aa28,Prompt37,DROP_WRONG_SEMANTICS,DROP,"SA audit closure","Rejected SA-LIVO experiment"
commit:cfdaa86,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA map-commit forensic specification/evidence","Rejected SA-LIVO semantics"
commit:b857df6,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA deferred-map instrumentation and contract","Rejected SA-LIVO semantics"
commit:add7216,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA covariance forensic instrumentation","Rejected SA-LIVO semantics"
commit:e2002ac,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA covariance repair","Repair is only valid inside rejected SA-LIVO path"
commit:3f2a657,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA map lifecycle benchmark","Rejected SA-LIVO experiment"
commit:727c6e0,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA map-commit evidence closure","Rejected SA-LIVO experiment"
commit:4626db7,Prompt38,DROP_WRONG_SEMANTICS,DROP,"SA metadata closure","Rejected SA-LIVO experiment"
